zipcode,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
94587,366000,348000,350000,352000,385000,410000,414000,428000,413000,414000,418000,430000,448000,453000,464000,498000,520000,536000,536000,535000,523000,526000,535000,535000,533000,549000,550000,549000,537000,560000,600000,610000,600000,590000,563000,572000,570000,640000,649000,669000,658000,678000,670000,660000,638000,633000,650000,660000,669000,650000,660000,716000,730000,730000,730000,735000,736000,730000,730000,727000,704000,680000,713000,742000,772000,760000,810000,816000,830000,825000,841000,835000,855000,880000,915000,952000,952000,960000,931000,903000,870000,873000,849000,830000,813000,830000,840000,847000,850000,825000,837000,830000,860000,842000,829000,800000,794000,830000,862000,900000,910000,900000,900000,910000,950000,938000,942000,963000,965000,963000,975000
94588,558000,570000,585000,602000,612000,620000,607000,590000,576000,578000,571000,603000,609000,560000,592000,679000,710000,678000,695000,705000,725000,700000,699000,697000,690000,655000,681000,750000,790000,791000,765000,751000,730000,737000,734000,750000,758000,817000,818000,845000,843000,852000,850000,835000,820000,793000,820000,825000,825000,835000,878000,896000,886000,875000,856000,855000,853000,823000,825000,820000,860000,867000,865000,900000,918000,930000,943000,937000,920000,930000,950000,959000,939000,1031000,1100000,1135000,1130000,1126000,1075000,1059000,1050000,1043000,1035000,992000,980000,990000,1063000,1041000,1063000,1063000,1065000,1000000,950000,940000,950000,966000,950000,989000,1059000,1080000,1058000,1003000,1031000,1040000,1082000,1048000,1100000,1100000,1150000,1220000,1261000
94589,118000,118000,120000,125000,126000,126000,138000,135000,135000,129000,135000,140000,154000,150000,160000,160000,170000,175000,190000,185000,190000,184000,196000,197000,210000,230000,220000,228000,220000,220000,215000,225000,230000,245000,242000,240000,231000,240000,251000,252000,253000,265000,269000,269000,270000,270000,280000,290000,293000,300000,290000,300000,300000,300000,310000,315000,315000,300000,305000,310000,310000,312000,320000,337000,344000,342000,350000,345000,352000,360000,368000,370000,380000,377000,381000,385000,385000,395000,390000,385000,389000,380000,386000,380000,383000,380000,390000,397000,404000,400000,405000,400000,405000,410000,399000,395000,388000,400000,406000,406000,408000,405000,410000,425000,445000,455000,453000,448000,435000,435000,443000
94590,105000,105000,110000,105000,111000,114000,125000,120000,125000,125000,127000,126000,128000,139000,150000,154000,150000,162000,168000,188000,184000,185000,200000,200000,205000,205000,207000,200000,220000,222000,227000,220000,216000,215000,220000,220000,215000,223000,226000,225000,245000,260000,255000,258000,250000,265000,265000,262000,259000,264000,275000,295000,290000,286000,300000,288000,308000,300000,320000,313000,326000,308000,325000,330000,335000,350000,353000,375000,375000,370000,348000,352000,354000,360000,360000,375000,375000,380000,391000,391000,397000,389000,379000,375000,379000,365000,369000,375000,398000,433000,392000,390000,399000,398000,372000,380000,390000,400000,400000,400000,420000,433000,430000,430000,432000,443000,450000,461000,453000,445000,455000
94591,190000,181000,179000,185000,200000,205000,200000,199000,220000,224000,225000,230000,230000,230000,231000,251000,262000,257000,275000,285000,290000,285000,260000,260000,240000,255000,280000,305000,300000,300000,310000,322000,327000,330000,320000,323000,320000,333000,350000,360000,360000,342000,350000,350000,350000,355000,345000,345000,335000,348000,355000,361000,385000,388000,405000,400000,410000,400000,394000,380000,400000,400000,425000,427000,438000,438000,430000,426000,435000,450000,438000,420000,407000,443000,444000,454000,446000,440000,454000,455000,452000,436000,429000,450000,450000,448000,429000,450000,450000,465000,450000,450000,461000,468000,485000,476000,485000,503000,530000,529000,515000,512000,515000,530000,530000,535000,515000,520000,500000,531000,531000
94595,199000,195000,205000,230000,269000,317000,278000,260000,256000,317000,332000,281000,269000,277000,320000,345000,383000,340000,360000,349000,395000,335000,335000,302000,305000,321000,377000,420000,430000,447000,421000,429000,402000,396000,388000,380000,380000,392000,430000,480000,450000,425000,410000,410000,425000,400000,428000,400000,418000,415000,412000,426000,457000,499000,490000,487000,493000,503000,505000,450000,449000,500000,475000,500000,471000,525000,540000,537000,503000,475000,508000,535000,514000,496000,452000,500000,515000,579000,580000,557000,550000,560000,553000,560000,528000,520000,563000,585000,608000,625000,625000,614000,600000,549000,601000,608000,615000,609000,617000,619000,640000,580000,610000,619000,644000,635000,599000,560000,519000,505000,575000
94596,363000,350000,516000,635000,718000,682000,573000,568000,643000,675000,684000,591000,560000,574000,737000,708000,734000,668000,691000,613000,570000,450000,602000,562000,463000,430000,400000,488000,450000,550000,560000,660000,680000,660000,671000,665000,550000,533000,635000,715000,720000,750000,748000,769000,828000,860000,911000,825000,803000,733000,746000,746000,838000,873000,885000,848000,851000,800000,800000,649000,519000,692000,858000,820000,820000,833000,835000,840000,840000,845000,801000,813000,875000,840000,831000,920000,950000,1032000,935000,928000,910000,920000,930000,935000,941000,965000,965000,900000,850000,835000,775000,880000,880000,923000,900000,890000,978000,975000,978000,1000000,993000,895000,993000,890000,1026000,897000,1045000,985000,883000,750000,859000
94597,398000,364000,338000,365000,385000,403000,385000,460000,488000,500000,509000,486000,500000,500000,620000,622000,643000,615000,560000,570000,548000,599000,545000,592000,517000,451000,470000,600000,625000,600000,600000,600000,627000,615000,621000,611000,619000,603000,603000,625000,682000,640000,600000,636000,725000,727000,698000,620000,615000,600000,675000,680000,734000,699000,670000,699000,690000,722000,751000,765000,725000,701000,683000,738000,738000,800000,800000,775000,694000,663000,660000,686000,715000,765000,828000,805000,810000,800000,825000,775000,730000,671000,729000,756000,775000,835000,838000,838000,831000,792000,770000,765000,778000,767000,781000,791000,811000,770000,720000,720000,873000,860000,875000,875000,890000,861000,840000,815000,713000,696000,761000
94598,570000,552000,583000,610000,666000,660000,650000,630000,636000,633000,630000,631000,648000,665000,680000,660000,715000,715000,765000,765000,765000,750000,735000,739000,768000,793000,770000,731000,767000,800000,813000,810000,800000,770000,778000,820000,809000,809000,824000,845000,845000,823000,800000,800000,818000,833000,867000,880000,900000,890000,888000,912000,914000,902000,883000,885000,855000,873000,830000,860000,820000,913000,868000,980000,990000,1015000,984000,982000,988000,965000,875000,833000,900000,970000,958000,1000000,1000000,1023000,995000,987000,978000,978000,971000,845000,760000,935000,1023000,1058000,1020000,1043000,1050000,1039000,1039000,995000,1024000,992000,985000,960000,1026000,1120000,1135000,1128000,1094000,1100000,1080000,1155000,1134000,1165000,1075000,1202000,1280000
94599,630000,560000,498000,570000,625000,700000,575000,605000,601000,609000,550000,550000,550000,690000,653000,675000,712000,703000,724000,706000,720000,610000,600000,600000,617000,670000,740000,845000,1033000,845000,888000,823000,747000,648000,702000,890000,1218000,1274000,1169000,775000,775000,768000,812000,845000,950000,900000,1055000,1110000,1015000,815000,745000,745000,737000,1100000,1188000,1200000,1120000,1006000,997000,989000,845000,957000,957000,1275000,1379000,1085000,857000,857000,800000,1115000,879000,950000,871000,1000000,860000,800000,761000,800000,1100000,1198000,920000,1080000,930000,1850000,1170000,850000,850000,872000,893000,893000,1010000,1110000,1110000,1014000,724000,888000,1100000,1100000,973000,910000,1000000,1310000,1073000,958000,895000,1050000,1510000,1015000,1307000,1295000,1311000
