name,type,gradeRange,enrollment,gsRating,city,state,ncesId,zipcode,lat,lon
Cherry Chase Elementary School,public,KG_5,835,9,Sunnyvale,CA,63846006458,94087,37.367023,-122.05695
Las Lomas High School,public,9_12,1601,9,Walnut Creek,CA,60165000035,94596,37.89014,-122.05741
Vannoy Elementary School,public,KG_5,436,8,Castro Valley,CA,60780000752,94546,37.706635,-122.05868
Cupertino Middle School,public,6_8,1358,8,Sunnyvale,CA,61029001127,94087,37.34013,-122.05942
West Valley Elementary School,public,KG_5,554,9,Sunnyvale,CA,61029001154,94087,37.339924,-122.06077
Creekside Middle School,public,6_8,781,8,Castro Valley,CA,60780006909,94546,37.699924,-122.06124
Bowman Elementary School,public,KG_6,301,2,Hayward,CA,61674002104,94544,37.641373,-122.06231
Cesar Chavez Middle School,public,7_8,554,2,Hayward,CA,61674002118,94544,37.63698,-122.06277
Marshall Elementary School,public,KG_5,490,8,Castro Valley,CA,60780000746,94546,37.697796,-122.06573
Tennyson High School,public,9_12,1423,2,Hayward,CA,61674002135,94544,37.642548,-122.06596
Tice Creek,public,KG_8,427,9,Walnut Creek,CA,64125013866,94595,37.88851,-122.06648
Gregory Gardens Elementary School,public,KG_5,415,4,Pleasant Hill,CA,62637002956,94523,37.959934,-122.06683
Sequoia Elementary School,public,KG_5,571,8,Pleasant Hill,CA,62637007319,94523,37.94348,-122.0669
Sequoia Middle School,public,6_8,931,7,Pleasant Hill,CA,62637008916,94523,37.94348,-122.06793
Pleasant Hill Middle School,public,6_8,847,5,Pleasant Hill,CA,62637007076,94503,37.935715,-122.06812
Parkmead Elementary School,public,KG_5,423,6,Walnut Creek,CA,64125009461,94595,37.887444,-122.0686
Mountain View High School,public,9_12,2062,9,Mountain View,CA,62631003930,94040,37.358192,-122.06863
Buena Vista Elementary School,public,KG_5,462,7,Walnut Creek,CA,64125006827,94597,37.912758,-122.06909
Hayward High School,public,9_12,1637,4,Hayward,CA,61674002116,94541,37.672676,-122.06992
Edith Landels Elementary School,public,KG_5,491,8,Mountain View,CA,62628003926,94041,37.388744,-122.07055
Oak Avenue Elementary School,public,KG_6,387,9,Los Altos,CA,62265002788,94024,37.3568,-122.07143
Pioneer Elementary School,public,KG_5,750,6,Union City,CA,62691007795,94587,37.572075,-122.07167
College Park High School,public,9_12,2036,8,Pleasant Hill,CA,62637003941,94523,37.96587,-122.07185
Valley View Middle School,public,6_8,815,6,Pleasant Hill,CA,62637003979,94523,37.96587,-122.07186
Harder Elementary School,public,KG_6,569,1,Hayward,CA,61674002115,94544,37.651512,-122.07237
Ruus Elementary School,public,KG_6,486,3,Hayward,CA,61674002129,94540,37.627365,-122.07363
Proctor Elementary School,public,KG_5,511,9,Castro Valley,CA,60780000749,94546,37.716743,-122.07366
Faith Ringgold School of Arts and Science,public,KG_8,132,2,Hayward,CA,61674005622,94541,37.67627,-122.07396
Acalanes Center For Independent Study,public,9_12,27,4,Walnut Creek,CA,60165010751,94595,37.877663,-122.07422
Frank L. Huff Elementary School,public,KG_5,610,9,Mountain View,CA,62628007791,94040,37.375267,-122.07434
Delaine Eastin Elementary School,public,KG_5,765,8,Union City,CA,62691008675,94587,37.566837,-122.07483
Tyrrell Elementary School,public,KG_6,675,3,Hayward,CA,61674008146,94540,37.6374,-122.07543
Strandwood Elementary School,public,KG_5,622,7,Pleasant Hill,CA,62637003974,94523,37.95024,-122.07585
Alvarado Elementary School,public,KG_5,726,7,Union City,CA,62691004065,94587,37.595623,-122.07693
Castro Valley High School,public,9_12,2834,9,Castro Valley,CA,60780000742,94546,37.705185,-122.07847
Bret Harte Middle School,public,7_8,605,3,Hayward,CA,61674002105,94540,37.670265,-122.07899
Alvarado Middle School,public,6_8,1396,5,Union City,CA,62691004066,94587,37.591747,-122.08036
Valhalla Elementary School,public,KG_5,569,9,Pleasant Hill,CA,62637003977,94523,37.966595,-122.08077
Glassbrook Elementary School,public,KG_6,515,2,Hayward,CA,61674002114,94544,37.64094,-122.08084
Castro Valley Elementary School,public,KG_5,506,7,Castro Valley,CA,60780000741,94546,37.698048,-122.08102
Benjamin Bubb Elementary School,public,KG_5,575,8,Mountain View,CA,62628003922,94040,37.379143,-122.08176
Montclaire Elementary School,public,KG_5,428,9,Los Altos,CA,61029001143,94024,37.34286,-122.08214
Pleasant Hill Elementary School,public,KG_5,618,6,Pleasant Hill,CA,62637003967,94523,37.93365,-122.08259
Stevenson Elementary School,public,KG_5,427,9,Mountain View,CA,62628012540,94043,37.404724,-122.08277
Georgina P. Blach Junior High School,public,7_8,499,10,Los Altos,CA,62265002783,94024,37.364574,-122.08286
Theuerkauf Elementary School,public,KG_5,355,7,Mountain View,CA,62628006933,94043,37.405888,-122.08497
Palma Ceia Elementary School,public,KG_6,551,4,Hayward,CA,61674002126,94545,37.627193,-122.08525
Eldridge Elementary School,public,KG_6,378,5,Hayward,CA,61674002111,94544,37.63684,-122.0853
Crittenden Middle School,public,6_8,707,6,Mountain View,CA,62628006931,94043,37.412212,-122.08588
Isaac Newton Graham Middle School,public,6_8,865,7,Mountain View,CA,62628003924,94040,37.381794,-122.086
Schafer Park Elementary School,public,KG_6,778,5,Hayward,CA,61674002130,94544,37.642918,-122.08734
Strobridge Elementary School,public,KG_6,492,1,Castro Valley,CA,61674008855,94546,37.68749,-122.08746
Hidden Valley Elementary School,public,KG_5,835,5,Martinez,CA,62637003950,94553,37.98253,-122.08815
Chabot Elementary School,public,KG_5,464,8,Castro Valley,CA,60780007661,94546,37.707085,-122.09012
Mount Eden High School,public,9_12,1979,6,Hayward,CA,61674002124,94545,37.625313,-122.09056
Winton Middle School,public,7_8,505,3,Hayward,CA,61674002137,94540,37.660347,-122.09095
"Martin Luther King, Jr. Middle School",public,7_8,757,6,Hayward,CA,61674002107,94545,37.63588,-122.09128
Burton Valley Elementary School,public,KG_5,798,10,Lafayette,CA,62031002446,94549,37.863434,-122.09233
Loyola Elementary School,public,KG_6,404,9,Los Altos,CA,62265002787,94024,37.361366,-122.09337
Las Juntas Elementary School,public,KG_5,355,3,Martinez,CA,62403003615,94553,38.007484,-122.09343
Stanton Elementary School,public,KG_5,493,6,Castro Valley,CA,60780009525,94546,37.69991,-122.09352
Springer Elementary School,public,KG_6,468,9,Mountain View,CA,62265002790,94040,37.37101,-122.09402
Park Elementary School,public,KG_6,532,3,Hayward,CA,61674002127,94540,37.652935,-122.09406
Gabriela Mistral Elementary,public,KG_5,373,8,Mountain View,CA,62628013928,94040,37.394897,-122.09414
Burbank Elementary School,public,KG_6,867,4,Hayward,CA,61674002106,94541,37.667927,-122.09427
Southgate Elementary School,public,KG_6,677,8,Hayward,CA,61674002132,94545,37.63905,-122.09444
Mariano Castro Elementary School,public,KG_5,268,5,Mountain View,CA,62628003923,94040,37.39532,-122.095
Monta Loma Elementary School,public,KG_5,425,6,Mountain View,CA,62628006932,94043,37.408195,-122.09807
Cherryland Elementary School,public,KG_6,746,2,Hayward,CA,61674002108,94541,37.676224,-122.09864
Brenkwitz High School,public,9_12,161,1,Hayward,CA,61674002123,94541,37.671955,-122.09895
Acalanes High School,public,9_12,1335,10,Lafayette,CA,60165000032,94549,37.904312,-122.09906
Morello Park Elementary School,public,KG_5,514,8,Martinez,CA,62403000178,94553,38.000797,-122.09928
Lorin A. Eden Elementary School,public,KG_6,385,3,Hayward,CA,61674002121,94545,37.62416,-122.10008
Almond Elementary School,public,KG_6,488,8,Los Altos,CA,62265002782,94022,37.384953,-122.10179
Springhill Elementary School,public,KG_5,454,9,Lafayette,CA,62031002450,94549,37.90876,-122.10248
Eden Gardens Elementary School,public,KG_6,552,3,Hayward,CA,61674002110,94545,37.638077,-122.10721
Covington Elementary School,public,KG_6,585,9,Los Altos,CA,62265011202,94024,37.370625,-122.10778
Los Altos High School,public,9_12,2227,9,Los Altos,CA,62631003929,94022,37.38499,-122.10918
Anthony W. Ochoa Middle School,public,7_8,588,4,Hayward,CA,61674009847,94545,37.638836,-122.10968
Longwood Elementary School,public,KG_6,651,2,Hayward,CA,61674002120,94541,37.659054,-122.1101
M. H. Stanley Middle School,public,6_8,1227,10,Lafayette,CA,62031002449,94549,37.887417,-122.11318
Herbert Hoover Elementary School,public,KG_5,395,9,Palo Alto,CA,62961004581,94306,37.418278,-122.11344
Palo Verde Elementary School,public,KG_5,393,9,Palo Alto,CA,62961004597,94303,37.431404,-122.11369
East Bay Arts High School,public,9_12,214,5,Hayward,CA,63471011567,94541,37.668976,-122.11506
Colonial Acres Elementary School,public,KG_5,564,2,Hayward,CA,63471005847,94541,37.683563,-122.11616
Ardis G. Egan Junior High School,public,7_8,585,8,Los Altos,CA,62265002786,94022,37.396782,-122.11629
Hillside Elementary School,public,KG_5,458,1,San Leandro,CA,63471005853,94578,37.701828,-122.11702
Lafayette Elementary School,public,KG_5,538,10,Lafayette,CA,62031002448,94549,37.888756,-122.11825
Fairmeadow Elementary School,public,KG_5,445,9,Palo Alto,CA,62961004585,94306,37.422222,-122.11843
Jane Lathrop Stanford Middle School,public,6_8,1137,9,Palo Alto,CA,62961004598,94306,37.422024,-122.11881
Edendale Middle School,public,6_8,657,1,San Lorenzo,CA,63471005851,94580,37.69527,-122.11892
John Muir Elementary School,public,KG_5,434,5,Martinez,CA,62403009579,94553,37.99892,-122.11935
Lorenzo Manor Elementary School,public,KG_5,569,2,Hayward,CA,63471005855,94541,37.674294,-122.11946
Santa Rita Elementary School,public,KG_6,524,6,Los Altos,CA,62265002789,94022,37.393932,-122.12132
San Lorenzo High School,public,9_12,1349,4,San Lorenzo,CA,63471005859,94580,37.686687,-122.12256
Ohlone Elementary School,public,KG_5,560,9,Palo Alto,CA,62961004592,94303,37.439594,-122.12383
Hesperian Elementary School,public,KG_5,551,2,San Lorenzo,CA,63471005852,94580,37.694016,-122.12531
John Swett Elementary School,public,KG_5,512,7,Martinez,CA,62403003614,94553,37.9823,-122.12533
Grass Valley Elementary School,public,KG_5,255,1,Oakland,CA,62805004269,94605,37.75301,-122.12585
Terman Middle School,public,6_8,668,8,Palo Alto,CA,62961011454,94306,37.404636,-122.12726
Bohannon Middle School,public,6_8,785,2,San Lorenzo,CA,63471007483,94580,37.6708,-122.12819
Gardner Bullis Elementary School,public,KG_6,302,9,Los Altos Hills,CA,62265011796,94022,37.382023,-122.12864
El Carmelo Elementary School,public,KG_5,360,8,Palo Alto,CA,62961004583,94306,37.4258,-122.13034
Henry M. Gunn High School,public,9_12,2006,9,Palo Alto,CA,62961004587,94306,37.399967,-122.13179
Juana Briones Elementary School,public,KG_5,307,7,Palo Alto,CA,62961004591,94306,37.408634,-122.1319
Alhambra Senior High School,public,9_12,1232,8,Martinez,CA,62403003612,94553,38.002495,-122.13371
Martinez Junior High School,public,6_8,966,5,Martinez,CA,62403003618,94553,38.0179,-122.13403
Costano Elementary School,public,KG_8,358,2,East Palo Alto,CA,63186004915,94303,37.477776,-122.13711
Duveneck Elementary School,public,KG_5,374,9,Palo Alto,CA,62961004586,94303,37.449944,-122.13482
David Starr Jordan Middle School,public,6_8,1050,8,Palo Alto,CA,62961010323,94303,37.439278,-122.13483
Grant Elementary School,public,KG_5,403,3,San Lorenzo,CA,63471007485,94580,37.68037,-122.13504
Jefferson Elementary School,public,KG_5,587,3,San Leandro,CA,63468005834,94578,37.71244,-122.13591
Barron Park Elementary School,public,KG_5,244,7,Palo Alto,CA,62961007802,94306,37.412613,-122.13642
Del Rey Elementary School,public,KG_5,520,3,San Lorenzo,CA,63471005850,94580,37.668636,-122.13657
Cesar Chavez Elementary School,public,6_8,121,2,East Palo Alto,CA,63186004916,94303,37.4736,-122.145
Arroyo High School,public,9_12,1819,7,San Lorenzo,CA,63471005845,94580,37.68081,-122.13836
Happy Valley Elementary School,public,KG_5,556,9,Lafayette,CA,62031002447,94549,37.90513,-122.14166
San Leandro High School,public,9_12,2652,5,San Leandro,CA,63468005842,94577,37.71713,-122.14256
Walter Hays Elementary School,public,KG_5,371,8,Palo Alto,CA,62961004588,94301,37.4424,-122.14356
Brentwood Academy,public,KG_5,386,1,East Palo Alto,CA,63186008946,94303,37.46227,-122.13456
Los Robles Magnet Academy,public,KG_8,257,1,East Palo Alto,CA,63186013130,94303,37.473618,-122.145
Ravenswood Comprehensive Middle,public,6_8,474,1,East Palo Alto,CA,63186014095,94303,37.473618,-122.14539
Monroe Elementary School,public,KG_5,392,4,San Leandro,CA,63468005838,94578,37.698154,-122.1462
Roosevelt Elementary School,public,KG_5,541,6,San Leandro,CA,63468005841,94577,37.736385,-122.14676
Bay Elementary School,public,KG_5,493,4,San Lorenzo,CA,63471005846,94580,37.67156,-122.14738
McKinley Elementary School,public,KG_5,507,3,San Leandro,CA,63468005837,94577,37.718876,-122.14747
Washington Manor Middle School,public,6_8,760,4,San Leandro,CA,63471008973,94579,37.68842,-122.14812
Bancroft Middle School,public,6_8,1055,3,San Leandro,CA,63468005831,94577,37.72917,-122.14863
Addison Elementary School,public,KG_5,402,8,Palo Alto,CA,62961004579,94301,37.446186,-122.15111
Howard Elementary School,public,KG_5,194,2,Oakland,CA,62805004249,94605,37.76215,-122.15135
Corvallis Elementary School,public,KG_5,430,2,San Leandro,CA,63471005848,94579,37.696617,-122.15235
Escondido Elementary School,public,KG_5,535,7,Stanford,CA,62961004584,94305,37.422104,-122.15521
Washington Elementary School,public,KG_5,398,4,San Leandro,CA,63468005843,94577,37.732426,-122.15676
Dayton Elementary School,public,KG_5,449,4,San Leandro,CA,63471007484,94579,37.687923,-122.15719
Lucille M. Nixon Elementary School,public,KG_5,445,8,Stanford,CA,62961004594,94305,37.41436,-122.1574
Palo Alto High School,public,9_12,2124,9,Palo Alto,CA,62961004596,94301,37.43786,-122.15779
Willow Oaks Elementary School,public,KG_8,416,2,Menlo Park,CA,63186004917,94025,37.46278,-122.1589
Lincoln High (Continuation) School,public,9_12,187,2,San Leandro,CA,63468005835,94579,37.708317,-122.15987
Madison Elementary School,public,KG_5,479,8,San Leandro,CA,63468007482,94579,37.69549,-122.16045
Belle Haven Elementary School,public,KG_8,368,1,Menlo Park,CA,63186004913,94025,37.476006,-122.16175
Reach Academy,public,KG_5,383,1,Oakland,CA,62805011556,94603,37.746513,-122.16182
Castlemont High,public,9_12,835,1,Oakland,CA,62805012992,94605,37.759537,-122.16291
Skyline High School,public,9_12,1592,4,Oakland,CA,62805004315,94619,37.797497,-122.1636
Parker Elementary School,public,KG_8,314,2,Oakland,CA,62805004306,94605,37.76564,-122.16559
Wilson Elementary School,public,KG_5,748,5,San Leandro,CA,63468005844,94577,37.715168,-122.16573
Alliance Academy,public,6_8,287,1,Oakland,CA,62805012027,94603,37.746372,-122.16609
Elmhurst Community Prep School,public,6_8,372,1,Oakland,CA,62805011961,94603,37.746372,-122.16609
Burckhalter Elementary School,public,KG_5,249,3,Oakland,CA,62805004245,94605,37.775578,-122.16679
John Muir Middle School,public,6_8,1003,4,San Leandro,CA,63468005839,94577,37.714146,-122.16817
Esperanza Elementary School,public,KG_5,345,3,Oakland,CA,62805004317,94603,37.7375,-122.17355
Fred T. Korematsu Discovery Academy,public,KG_5,295,2,Oakland,CA,62805011977,94603,37.7375,-122.17355
Carl B. Munck Elementary School,public,KG_5,228,2,Oakland,CA,62805004246,94619,37.794754,-122.17382
East Oakland Pride Elementary School,public,KG_5,337,1,Oakland,CA,62805012059,94621,37.759064,-122.17445
Madison Park Academy Tk-5,public,KG_5,277,1,Oakland,CA,62805004316,94603,37.728043,-122.17749
New Highland Academy,public,KG_5,356,1,Oakland,CA,62805004274,94621,37.752094,-122.17864
Rise Community School,public,KG_5,233,1,Oakland,CA,62805011559,94621,37.752094,-122.17864
Markham Elementary School,public,KG_5,330,1,Oakland,CA,62805004296,94605,37.765297,-122.17887
Madison Park Academy 6-12,public,6_12,774,3,Oakland,CA,62805004278,94603,37.727776,-122.17918
Frick Middle School,public,6_8,231,1,Oakland,CA,62805004263,94605,37.771515,-122.18349
Acorn Woodland Elementary School,public,KG_5,286,5,Oakland,CA,62805010730,94621,37.75286,-122.18605
Encompass Academy Elementary,public,KG_5,327,1,Oakland,CA,62805010686,94621,37.75286,-122.18605
Garfield Elementary School,public,KG_5,355,2,San Leandro,CA,63468005833,94577,37.70401,-122.18606
Redwood Heights Elementary School,public,KG_5,372,5,Oakland,CA,62805004310,94619,37.797077,-122.18626
Brookfield Elementary School,public,KG_5,232,2,Oakland,CA,62805004243,94603,37.73471,-122.189
Oakland Sol (School Of Language) Dual Language Middle,public,6_8,100,1,Oakland,CA,62805014086,94621,37.75927,-122.19075
Futures Elementary School,public,KG_5,312,1,Oakland,CA,62805012057,94621,37.761425,-122.19188
Community United Elementary School,public,KG_5,351,1,Oakland,CA,62805012058,94621,37.761425,-122.19188
Oak Knoll Elementary School,public,KG_5,651,10,Menlo Park,CA,62457003685,94025,37.430923,-122.19249
Roots International Academy,public,6_8,273,1,Oakland,CA,62805011907,94621,37.761974,-122.19337
Coliseum College Prep Academy,public,6_12,486,2,Oakland,CA,62805011920,94621,37.761974,-122.19337
Greenleaf Elementary School,public,KG_8,635,2,Oakland,CA,62805012055,94621,37.764385,-122.19484
Hillview Middle School,public,6_8,972,8,Menlo Park,CA,62457003683,94025,37.43894,-122.19623
Laurel Elementary School,public,KG_5,475,3,Oakland,CA,62805004287,94619,37.79307,-122.19664
Melrose Leadership Academy,public,KG_8,538,3,Oakland,CA,62805008679,94619,37.780327,-122.19779
Garfield Elementary School,public,KG_8,533,3,Menlo Park,CA,63213004965,94025,37.4701,-122.19947
La Entrada Middle School,public,4_8,745,8,Menlo Park,CA,62238002674,94025,37.428684,-122.20061
Montera Middle School,public,6_8,727,3,Oakland,CA,62805004303,94611,37.818787,-122.2016
Joaquin Miller Elementary School,public,KG_5,443,7,Oakland,CA,62805004280,94611,37.818546,-122.20177
Horace Mann Elementary School,public,KG_5,294,1,Oakland,CA,62805004277,94601,37.77355,-122.20245
Allendale Elementary School,public,KG_5,401,1,Oakland,CA,62805004238,94619,37.788643,-122.20516
Bridges Academy,public,KG_5,439,1,Oakland,CA,62805004301,94601,37.76776,-122.2065
Bret Harte Middle School,public,6_9,556,1,Oakland,CA,62805004242,94602,37.80058,-122.20652
Fremont High,public,9_12,771,1,Oakland,CA,62805013062,94601,37.7744,-122.20972
Sequoia Elementary School,public,KG_5,436,5,Oakland,CA,62805004314,94602,37.802315,-122.21141
Thornhill Elementary School,public,KG_5,410,9,Oakland,CA,62805004318,94611,37.836185,-122.21152
Corte Madera School,public,4_8,309,9,Portola Valley,CA,63147004881,94028,37.3686,-122.2128
Montclair Elementary School,public,KG_5,640,9,Oakland,CA,62805004302,94611,37.831093,-122.21281
Global Family School,public,KG_5,444,1,Oakland,CA,62805012053,94601,37.77935,-122.21325
Fruitvale Elementary School,public,KG_5,332,2,Oakland,CA,62805004264,94602,37.796227,-122.21407
Life Academy,public,6_12,463,3,Oakland,CA,62805008676,94601,37.784286,-122.21676
